@RELATION biodiversitySpreadsheets_whithWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{spCatalog,spOccurrence,geneData,spMonitoring,expObservation}

@DATA
0.17,0.00,0.06,0.00,0.00,0.04,spMonitoring
0.04,0.00,1.00,0.00,0.00,0.06,spMonitoring
0.17,0.00,0.06,0.00,0.00,0.04,spMonitoring
0.35,0.00,0.03,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.14,0.00,0.00,0.00,spMonitoring
0.33,0.00,0.00,0.00,0.01,0.01,spMonitoring
0.21,0.00,0.01,0.00,0.00,0.30,spMonitoring
0.21,0.00,0.01,0.00,0.00,0.30,spMonitoring
0.06,0.25,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.11,0.31,0.00,0.00,0.04,spMonitoring
0.25,0.00,0.00,0.11,0.04,0.00,spMonitoring
0.25,1.00,0.00,0.00,0.06,0.00,spMonitoring
0.25,1.00,0.02,0.00,0.00,0.06,spMonitoring
0.25,1.00,0.00,0.00,0.06,0.00,spMonitoring
0.00,0.00,0.04,0.00,1.00,0.36,spMonitoring
1.11,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.44,0.00,spMonitoring
0.00,0.00,0.11,0.25,1.00,0.00,spMonitoring
1.00,0.00,0.11,0.00,0.15,0.00,spMonitoring
0.04,0.00,0.00,0.01,0.18,0.25,spMonitoring
0.33,0.00,0.00,0.00,0.01,0.01,spMonitoring
0.10,0.00,0.00,0.00,0.02,0.02,spMonitoring
0.10,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.35,0.00,0.00,0.00,0.00,0.02,spMonitoring
1.25,0.00,0.00,0.14,0.00,0.00,spMonitoring
0.25,0.00,1.00,0.11,0.00,0.00,spMonitoring
0.11,1.00,0.00,0.00,0.00,0.00,spMonitoring
0.18,0.00,0.00,0.00,0.02,0.00,spMonitoring
1.11,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
